2019-05-14 13:31:46,494 [Worker-0: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-05-14 13:34:30,983 [Worker-5: Creating project "com.tyss"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.BlueStone.tyss:com.tyss:0.0.1-SNAPSHOT @ E:\BlueStone\com.tyss\pom.xml.
2019-05-14 13:34:32,717 [Worker-5: Creating project "com.tyss"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /com.tyss/src/main/java
2019-05-14 13:34:32,717 [Worker-5: Creating project "com.tyss"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /com.tyss/src/main/resources
2019-05-14 13:34:32,733 [Worker-5: Creating project "com.tyss"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /com.tyss/src/test/java
2019-05-14 13:34:32,733 [Worker-5: Creating project "com.tyss"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /com.tyss/src/test/resources
2019-05-14 13:34:35,814 [Worker-1: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-14 13:34:35,829 [Worker-1: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-14 13:34:35,829 [Worker-1: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-14 13:34:35,829 [Worker-1: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-14 13:39:27,407 [Worker-15: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-14 13:39:27,419 [Worker-15: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
